date|time|description|vendor|amount
2023-04-15|10:13:25|ergonomic keyboard|Amazon|-89.50
2023-04-15|11:15:00|Invoice 1001 paid|Joe|1500.00
2023-04-16|09:45:12|Coffee|Starbucks|-5.25
2023-04-16|12:20:30|Lunch|Subway|-12.60
2023-04-17|08:30:15|Groceries|Walmart|-75.90
2023-04-17|14:10:50|Fuel|Shell|-45.30
2023-04-18|10:00:00|Salary|ABC Corp|2500.00
2023-05-19|13:45:33|Laptop repair|Best Buy|-230.00
2023-05-20|09:10:20|Electric Bill|Utility Co|-120.45
2023-05-21|11:30:40|Dinner|Panda Express|-19.80
2023-10-22|16:25:05|Concert tickets|Ticketmaster|-150.00
2023-11-23|09:50:45|Online course|Coursera|-39.99
2024-01-23|15:00:00|Freelance payment|Client XYZ|800.00
2024-03-24|07:45:55|Gym membership|FitLife|-35.00
2024-04-25|12:15:25|Movie tickets|AMC|-28.50
2024-04-25|14:45:30|Groceries|Kroger|-65.80
2024-08-26|09:00:00|Car maintenance|Auto Shop|-300.00
2024-09-18|10:54|cash app |cashapp|25.00
2024-10-18|10:54|pay him back |cash app|-15.00
2024-10-18|21:01|not a de|very wer|200.00
2024-10-18|21:03|try again|tryid|300.00
2024-10-18|21:06|dothis|doingthis|400.00
2024-10-18|21:13|closed|closing|240.00
2024-10-18|21:19|flushmeth|methodflush|400.00
2024-10-18|21:33|transtry|trytransaction|400.00
2024-10-18|21:38|report|reprttt|300.00
2024-10-18|21:47|display|sips|400.00
2024-10-18|21:54|dfa|dfads|800.00
2024-10-18|21:55|fdfd|fddfd|900.00
2024-10-18|22:00|ghgh|hghg|700.00
2024-10-18|22:02|dfdr|dgsd|600.00
2024-10-18|22:13|noteven|noteven|333.00
2024-10-18|22:16|owed|paypal|-23.00
2024-10-18|22:30|i owe him|cashapp|-30.00
2024-10-18|22:32|ps|pslu|-45.00